authors,title,link,written,premiered,printed,source,id
"Островский, Александр Николаевич",Невольницы,https://dracor.org/rus/ostrovsky-nevolnicy,1881,1883,1881,Библиотека Максима Мошкова (lib.ru),rus000180
"Островский, Александр Николаевич",Доходное место,https://dracor.org/rus/ostrovsky-dohodnoe-mesto,1856,1857,1856,Библиотека Максима Мошкова (lib.ru),rus000160
"Островский, Александр Николаевич",Последняя жертва,https://dracor.org/rus/ostrovsky-poslednyaya-zhertva,1877,1877,1878,Библиотека Максима Мошкова (lib.ru),rus000152
"Островский, Александр Николаевич",Горячее сердце,https://dracor.org/rus/ostrovsky-goryachee-serdce,1868,1869,1869,Библиотека Максима Мошкова (lib.ru),rus000159
"Островский, Александр Николаевич","Свои собаки грызутся, чужая не приставай",https://dracor.org/rus/ostrovsky-svoi-sobaki-gryzutsya-chuzhaya-ne-pristavaj,1861,1861,1861,Библиотека Максима Мошкова (lib.ru),rus000185
"Островский, Александр Николаевич",Поздняя любовь,https://dracor.org/rus/ostrovsky-pozdnyaya-lyubov,1873,1873,1874,Библиотека Максима Мошкова (lib.ru),rus000204
"Островский, Александр Николаевич",Трудовой хлеб,https://dracor.org/rus/ostrovsky-trudovoj-hleb,1874,1874,1874,Библиотека Максима Мошкова (lib.ru),rus000203
"Островский, Александр Николаевич",Тяжелые дни,https://dracor.org/rus/ostrovsky-tyazhelye-dni,1863,1863,1863,Библиотека Максима Мошкова (lib.ru),rus000201
"Островский, Александр Николаевич",Грех да беда на кого не живет,https://dracor.org/rus/ostrovsky-greh-da-beda-na-kogo-ne-zhivet,1862,1863,1863,Библиотека Максима Мошкова (lib.ru),rus000198
"Островский, Александр Николаевич",Праздничный сон — до обеда,https://dracor.org/rus/ostrovsky-prazdnichnyj-son-do-obeda,1857,1857,,Библиотека Максима Мошкова (lib.ru),rus000184
"Островский, Александр Николаевич",Утро молодого человека,https://dracor.org/rus/ostrovsky-utro-molodogo-cheloveka,1850,1853,1850,Библиотека Максима Мошкова (lib.ru),rus000188
"Островский, Александр Николаевич",Гроза,https://dracor.org/rus/ostrovsky-groza,1859,1859,1860,Интернет-библиотека Алексея Комарова,rus000030
"Островский, Александр Николаевич",В чужом пиру похмелье,https://dracor.org/rus/ostrovsky-v-chuzhom-piru-pohmelje,1856,1856,1856,Библиотека Максима Мошкова (lib.ru),rus000183
"Островский, Александр Николаевич",Пучина,https://dracor.org/rus/ostrovsky-puchina,,1866,1866,Библиотека Максима Мошкова (lib.ru),rus000144
"Островский, Александр Николаевич",Волки и овцы,https://dracor.org/rus/ostrovsky-volki-i-ovtsy,1875,1875,1875,Интернет-библиотека Алексея Комарова,rus000027
"Островский, Александр Николаевич",Лес,https://dracor.org/rus/ostrovsky-les,1870,1871,1871,Библиотека Максима Мошкова (lib.ru),rus000085
"Островский, Александр Николаевич",Воспитанница,https://dracor.org/rus/ostrovsky-vospitannica,1858,1863,1859,Библиотека Максима Мошкова (lib.ru),rus000161
"Островский, Александр Николаевич","За чем пойдешь, то и найдешь (Женитьба Бальзаминова)",https://dracor.org/rus/ostrovsky-za-chem-pojdesh-to-i-najdesh,1861,1863,1861,Библиотека Максима Мошкова (lib.ru),rus000186
"Островский, Александр Николаевич",На бойком месте,https://dracor.org/rus/ostrovsky-na-bojkom-meste,,1865,1865,Библиотека Максима Мошкова (lib.ru),rus000143
"Островский, Александр Николаевич",Семейная картина,https://dracor.org/rus/ostrovsky-semejnaya-kartina,1847,1855,1847,Библиотека Максима Мошкова (lib.ru),rus000189
"Островский, Александр Николаевич",Бедная невеста,https://dracor.org/rus/ostrovsky-bednaja-nevesta,1851,1853,1852,Библиотека Максима Мошкова (lib.ru),rus000097
"Островский, Александр Николаевич",На всякого мудреца довольно простоты,https://dracor.org/rus/ostrovsky-na-vsyakogo-mudreca-dovolno-prostoty,1868,1868,1868,Библиотека Максима Мошкова (lib.ru),rus000101
"Островский, Александр Николаевич",Бедность не порок,https://dracor.org/rus/ostrovsky-bednost-ne-porok,1853,1854,1854,Интернет-библиотека Алексея Комарова,rus000032
"Островский, Александр Николаевич",Шутники,https://dracor.org/rus/ostrovsky-shutniki,1864,1864,,Библиотека Максима Мошкова (lib.ru),rus000181
"Островский, Александр Николаевич",Не от мира сего,https://dracor.org/rus/ostrovsky-ne-ot-mira-sego,1884,1885,1885,Библиотека Максима Мошкова (lib.ru),rus000202
"Островский, Александр Николаевич",Бешеные деньги,https://dracor.org/rus/ostrovsky-beshenye-dengi,1869,1870,1870,Библиотека Максима Мошкова (lib.ru),rus000156
"Островский, Александр Николаевич",Не сошлись характерами!,https://dracor.org/rus/ostrovsky-ne-soshlis-harakterami,1857,1858,1858,Библиотека Максима Мошкова (lib.ru),rus000196
"Островский, Александр Николаевич",Снегурочка,https://dracor.org/rus/ostrovsky-snegurochka,1873,1873,1873,Интернет-библиотека Алексея Комарова,rus000029
"Островский, Александр Николаевич",Старый друг лучше новых двух,https://dracor.org/rus/ostrovsky-staryj-drug-luchshe-novyh-dvuh,1860,1860,1860,Библиотека Максима Мошкова (lib.ru),rus000182
"Островский, Александр Николаевич",Бесприданница,https://dracor.org/rus/ostrovsky-bespridannitsa,1878,1878,1879,Интернет-библиотека Алексея Комарова,rus000031
"Островский, Александр Николаевич","Не так живи, как хочется",https://dracor.org/rus/ostrovsky-ne-tak-zhivi-kak-hochetsya,1854,1854,1855,Библиотека Максима Мошкова (lib.ru),rus000197
"Островский, Александр Николаевич",Без вины виноватые,https://dracor.org/rus/ostrovsky-bez-viny-vinovatye,1883,1884,1884,Библиотека Максима Мошкова (lib.ru),rus000162
"Островский, Александр Николаевич",Свои люди – сочтемся,https://dracor.org/rus/ostrovsky-svoi-ljudi,1849,1861,1850,Интернет-библиотека Алексея Комарова,rus000028
"Островский, Александр Николаевич",Не в свои сани не садись,https://dracor.org/rus/ostrovsky-ne-v-svoi-sani-ne-sadis,1852,1853,1853,Библиотека Максима Мошкова (lib.ru),rus000195
"Островский, Александр Николаевич",Богатые невесты,https://dracor.org/rus/ostrovsky-bogatye-nevesty,1875,1875,1876,Библиотека Максима Мошкова (lib.ru),rus000187
